ID,Title,Original_language,Average_vote,Popularity,TV Provider
1029575,The Family Plan,en,7.389,3086.075,Apple TV Plus
848326,Rebel Moon - Part One: A Child of Fire,en,6.478,2101.05,Netflix
695721,The Hunger Games: The Ballad of Songbirds & Snakes,en,7.227,2016.503,Not available in AR
891699,Silent Night,en,5.873,1345.446,Not available in AR
572802,Aquaman and the Lost Kingdom,en,6.5,1343.363,Not available in AR
1071215,Thanksgiving,en,6.666,1314.751,Not available in AR
1131755,A Creature Was Stirring,en,5.3,1272.065,Not available in AR
507089,Five Nights at Freddy's,en,7.756,1160.316,Not available in AR
844416,Rumble Through the Dark,en,6.609,842.319,Not available in AR
897087,Freelance,en,6.491,813.979,Not available in AR
299054,Expend4bles,en,6.43,786.646,No Flatrate available
670292,The Creator,en,7.151,776.276,Star Plus
787699,Wonka,en,7.124,791.413,Not available in AR
872585,Oppenheimer,en,8.118,746.774,No Flatrate available
901362,Trolls Band Together,en,7.174,705.3,Not available in AR
1075794,Leo,en,7.521,684.943,Netflix
1189927,The Duel,es,7.75,581.73,Star Plus
1035982,Hell House LLC Origins: The Carmichael Manor,en,6.288,794.574,Not available in AR
807172,The Exorcist: Believer,en,6.154,710.242,Not available in AR
1143183,Rewind,tl,7.3,874.903,Not available in AR
